Date,Value
2021-06-21,549345.0
2021-06-20,441204.0
2021-06-19,489074.0
2021-06-18,567037.0
2021-06-17,601894.0
2021-06-16,651528.0
2021-06-15,677276.0
2021-06-14,624698.0
2021-06-13,480484.0
2021-06-12,584529.0
2021-06-11,616007.0
2021-06-10,679752.0
2021-06-09,581779.0
2021-06-08,656191.0
2021-06-07,615279.0
2021-06-06,467665.0
2021-06-05,537842.0
2021-06-04,632737.0
2021-06-03,692529.0
2021-06-02,663855.0
2021-06-01,615006.0
2021-05-31,599311.0
2021-05-30,476088.0
2021-05-29,537305.0
2021-05-28,616432.0
2021-05-27,602300.0
2021-05-26,641585.0
2021-05-25,640506.0
2021-05-24,643231.0
2021-05-23,555526.0
2021-05-22,603588.0
2021-05-21,695822.0
2021-05-20,694786.0
2021-05-19,734818.0
2021-05-18,619246.0
2021-05-17,684281.0
2021-05-16,604353.0
2021-05-15,646899.0
2021-05-14,752353.0
2021-05-13,806882.0
2021-05-12,852846.0
2021-05-11,854634.0
2021-05-10,824736.0
2021-05-09,690253.0
2021-05-08,744143.0
2021-05-07,804452.0
2021-05-06,843433.0
2021-05-05,808208.0
2021-05-04,772207.0
2021-05-03,746177.0
2021-05-02,587240.0
2021-05-01,677778.0
2021-04-30,738101.0
2021-04-29,703520.0
2021-04-28,728620.0
2021-04-27,748381.0
2021-04-26,677984.0
2021-04-25,585806.0
2021-04-24,695216.0
2021-04-23,794322.0
2021-04-22,757844.0
2021-04-21,719498.0
2021-04-20,829989.0
2021-04-19,674744.0
2021-04-18,754058.0
2021-04-17,611196.0
2021-04-16,733666.0
2021-04-15,952400.0
2021-04-14,854552.0
2021-04-13,839652.0
2021-04-12,762819.0
2021-04-11,653736.0
2021-04-10,762965.0
2021-04-09,853581.0
2021-04-08,761635.0
2021-04-07,860993.0
2021-04-06,841579.0
2021-04-05,763702.0
2021-04-04,618857.0
2021-04-03,704293.0
2021-04-02,795716.0
2021-04-01,814587.0
2021-03-31,900660.0
2021-03-30,826466.0
2021-03-29,776764.0
2021-03-28,629197.0
2021-03-27,722993.0
2021-03-26,790548.0
2021-03-25,847860.0
2021-03-24,780464.0
2021-03-23,810265.0
2021-03-22,781908.0
2021-03-21,612850.0
2021-03-20,742019.0
2021-03-19,833389.0
2021-03-18,885634.0
2021-03-17,808119.0
2021-03-16,822884.0
2021-03-15,782966.0
2021-03-14,736008.0
2021-03-13,739312.0
2021-03-12,818834.0
2021-03-11,766597.0
2021-03-10,833186.0
2021-03-09,782612.0
2021-03-08,723503.0
2021-03-07,654593.0
2021-03-06,677322.0
2021-03-05,806404.0
2021-03-04,752764.0
2021-03-03,840642.0
2021-03-02,810035.0
2021-03-01,748049.0
2021-02-28,629972.0
2021-02-27,775777.0
2021-02-26,817077.0
2021-02-25,830544.0
2021-02-24,874171.0
2021-02-23,796658.0
2021-02-22,761941.0
2021-02-21,680893.0
2021-02-20,830094.0
2021-02-19,884319.0
2021-02-18,820203.0
2021-02-17,829226.0
2021-02-16,745457.0
2021-02-15,769869.0
2021-02-14,698818.0
2021-02-13,788028.0
2021-02-12,857246.0
2021-02-11,796146.0
2021-02-10,861426.0
2021-02-09,903883.0
2021-02-08,822971.0
2021-02-07,718596.0
2021-02-06,795079.0
2021-02-05,856297.0
2021-02-04,895626.0
2021-02-03,836448.0
2021-02-02,865515.0
2021-02-01,724841.0
2021-01-31,702062.0
2021-01-30,756022.0
2021-01-29,888960.0
2021-01-28,767142.0
2021-01-27,787548.0
2021-01-26,768537.0
2021-01-25,732867.0
2021-01-24,608849.0
2021-01-23,710703.0
2021-01-22,783335.0
2021-01-21,736588.0
2021-01-20,755823.0
2021-01-19,757920.0
2021-01-18,720228.0
2021-01-17,642730.0
2021-01-16,733398.0
2021-01-15,808283.0
2021-01-14,802110.0
2021-01-13,772596.0
2021-01-12,796457.0
2021-01-11,801285.0
2021-01-10,768365.0
2021-01-09,760179.0
2021-01-08,883788.0
2021-01-07,940647.0
2021-01-06,924851.0
2021-01-05,845343.0
2021-01-04,851667.0
2021-01-03,812749.0
2021-01-02,711719.0
2021-01-01,609741.0
2020-12-31,809871.0
2020-12-30,807268.0
2020-12-29,775919.0
2020-12-28,717073.0
2020-12-27,696527.0
2020-12-26,627843.0
2020-12-25,662980.0
2020-12-24,639280.0
2020-12-23,782736.0
2020-12-22,738842.0
2020-12-21,649848.0
2020-12-20,638816.0
2020-12-19,756109.0
2020-12-18,851929.0
2020-12-17,754492.0
2020-12-16,751162.0
2020-12-15,722550.0
2020-12-14,696656.0
2020-12-13,611911.0
2020-12-12,654893.0
2020-12-11,711679.0
2020-12-10,713602.0
2020-12-09,748572.0
2020-12-08,737193.0
2020-12-07,673269.0
2020-12-06,582059.0
2020-12-05,642981.0
2020-12-04,729984.0
2020-12-03,777633.0
2020-12-02,756978.0
2020-12-01,841581.0
2020-11-30,623554.0
2020-11-29,589008.0
2020-11-28,644206.0
2020-11-27,719237.0
2020-11-26,736612.0
2020-11-25,812699.0
2020-11-24,756417.0
2020-11-23,671932.0
2020-11-22,587237.0
2020-11-21,663959.0
2020-11-20,772326.0
2020-11-19,717377.0
2020-11-18,807705.0
2020-11-17,770689.0
2020-11-16,681273.0
2020-11-15,555375.0
2020-11-14,613373.0
2020-11-13,685725.0
2020-11-12,721180.0
2020-11-11,713744.0
2020-11-10,684892.0
2020-11-09,713629.0
2020-11-08,555482.0
2020-11-07,608746.0
2020-11-06,756129.0
2020-11-05,729209.0
2020-11-04,707247.0
2020-11-03,727413.0
2020-11-02,543348.0
2020-11-01,592197.0
2020-10-31,613906.0
2020-10-30,635998.0
2020-10-29,652778.0
2020-10-28,615001.0
2020-10-27,600338.0
2020-10-26,579939.0
2020-10-25,547380.0
