Date,Value
2021-06-21,201981.0
2021-06-20,164157.0
2021-06-19,185155.0
2021-06-18,220657.0
2021-06-17,235240.0
2021-06-16,250605.0
2021-06-15,239231.0
2021-06-14,240108.0
2021-06-13,185175.0
2021-06-12,219663.0
2021-06-11,214427.0
2021-06-10,249508.0
2021-06-09,208976.0
2021-06-08,244362.0
2021-06-07,233258.0
2021-06-06,183530.0
2021-06-05,192515.0
2021-06-04,233496.0
2021-06-03,253294.0
2021-06-02,247186.0
2021-06-01,232277.0
2021-05-31,221775.0
2021-05-30,176688.0
2021-05-29,196259.0
2021-05-28,215764.0
2021-05-27,211686.0
2021-05-26,228110.0
2021-05-25,231017.0
2021-05-24,231931.0
2021-05-23,191590.0
2021-05-22,220859.0
2021-05-21,223241.0
2021-05-20,224276.0
2021-05-19,259812.0
2021-05-18,217971.0
2021-05-17,242095.0
2021-05-16,216916.0
2021-05-15,229452.0
2021-05-14,262913.0
2021-05-13,273021.0
2021-05-12,297062.0
2021-05-11,308615.0
2021-05-10,299822.0
2021-05-09,245062.0
2021-05-08,271447.0
2021-05-07,303225.0
2021-05-06,306884.0
2021-05-05,305591.0
2021-05-04,296672.0
2021-05-03,283209.0
2021-05-02,231999.0
2021-05-01,259751.0
2021-04-30,286158.0
2021-04-29,255439.0
2021-04-28,271992.0
2021-04-27,293396.0
2021-04-26,236860.0
2021-04-25,236534.0
2021-04-24,285889.0
2021-04-23,290057.0
2021-04-22,269592.0
2021-04-21,222490.0
2021-04-20,275973.0
2021-04-19,203637.0
2021-04-18,267783.0
2021-04-17,191272.0
2021-04-16,216336.0
2021-04-15,354682.0
2021-04-14,293300.0
2021-04-13,305895.0
2021-04-12,286658.0
2021-04-11,249489.0
2021-04-10,293751.0
2021-04-09,319653.0
2021-04-08,274868.0
2021-04-07,316227.0
2021-04-06,305746.0
2021-04-05,284512.0
2021-04-04,242207.0
2021-04-03,277132.0
2021-04-02,301445.0
2021-04-01,308161.0
2021-03-31,328384.0
2021-03-30,316536.0
2021-03-29,299609.0
2021-03-28,244003.0
2021-03-27,284638.0
2021-03-26,289918.0
2021-03-25,314233.0
2021-03-24,300724.0
2021-03-23,310712.0
2021-03-22,292810.0
2021-03-21,231254.0
2021-03-20,282897.0
2021-03-19,311444.0
2021-03-18,326889.0
2021-03-17,291717.0
2021-03-16,314847.0
2021-03-15,287520.0
2021-03-14,303740.0
2021-03-13,273024.0
2021-03-12,316520.0
2021-03-11,287084.0
2021-03-10,340473.0
2021-03-09,295471.0
2021-03-08,288009.0
2021-03-07,257253.0
2021-03-06,284644.0
2021-03-05,313922.0
2021-03-04,285778.0
2021-03-03,329200.0
2021-03-02,334067.0
2021-03-01,276425.0
2021-02-28,250582.0
2021-02-27,316462.0
2021-02-26,302463.0
2021-02-25,321718.0
2021-02-24,353431.0
2021-02-23,283260.0
2021-02-22,281144.0
2021-02-21,267378.0
2021-02-20,315342.0
2021-02-19,336543.0
2021-02-18,313073.0
2021-02-17,313722.0
2021-02-16,292705.0
2021-02-15,304662.0
2021-02-14,294651.0
2021-02-13,332944.0
2021-02-12,339751.0
2021-02-11,301258.0
2021-02-10,336340.0
2021-02-09,355425.0
2021-02-08,330967.0
2021-02-07,282370.0
2021-02-06,329904.0
2021-02-05,356357.0
2021-02-04,363365.0
2021-02-03,340465.0
2021-02-02,360694.0
2021-02-01,277113.0
2021-01-31,287575.0
2021-01-30,309300.0
2021-01-29,337132.0
2021-01-28,320765.0
2021-01-27,320074.0
2021-01-26,332912.0
2021-01-25,305567.0
2021-01-24,251105.0
2021-01-23,302142.0
2021-01-22,322598.0
2021-01-21,287117.0
2021-01-20,310901.0
2021-01-19,321446.0
2021-01-18,310233.0
2021-01-17,268623.0
2021-01-16,304753.0
2021-01-15,340326.0
2021-01-14,334885.0
2021-01-13,315524.0
2021-01-12,332587.0
2021-01-11,329587.0
2021-01-10,327988.0
2021-01-09,318018.0
2021-01-08,354565.0
2021-01-07,397456.0
2021-01-06,393193.0
2021-01-05,349895.0
2021-01-04,368932.0
2021-01-03,355123.0
2021-01-02,293409.0
2021-01-01,255086.0
2020-12-31,341206.0
2020-12-30,334365.0
2020-12-29,332853.0
2020-12-28,305483.0
2020-12-27,305121.0
